Item name, prob, Mean Value (Train), Mean Value (Valid), 
肌酐, 0.9991, 
尿素氮, 0.9924, 
血清尿酸, 0.9821, 
乳酸脱氢酶, 0.9805, 
肌酸激酶同工酶ng/ml, 0.8230, 
天冬氨酸氨基转移酶, 0.1796, 
血浆凝血酶原活动度测定, 0.0455, 
肌酸激酶同工酶U/L, 0.0447, 
直接胆红素, 0.0387, 
中性粒细胞百分比, 0.0316, 
血红蛋白测定, 0.0295, 
氯化物, 0.0214, 
尿比重测定, 0.0211, 
平均血小板体积测定, 0.0202, 
丙氨酸氨基转移酶, 0.0182, 
平均红细胞血红蛋白浓度, 0.0178, 
总胆红素, 0.0162, 
葡萄糖, 0.0161, 
红细胞计数, 0.0143, 
钙, 0.0138, 
尿酵母细胞, 0.0136, 
尿白细胞, 0.0127, 
血浆凝血酶原时间测定, 0.0119, 
尿酮体试验, 0.0118, 
血浆纤维蛋白原测定, 0.0116, 
总胆固醇, 0.0113, 
低密度脂蛋白胆固醇, 0.0112, 
总蛋白, 0.0109, 
总胆汁酸, 0.0108, 
肌酸激酶, 0.0106, 
凝血酶时间测定, 0.0106, 
钠, 0.0105, 
尿70%红细胞前向散射光所在位置, 0.0104, 
γ-谷氨酰基转移酶, 0.0099, 
乙型肝炎病毒表面抗体（发光法）, 0.0097, 
血小板计数, 0.0097, 
尿白细胞检查, 0.0094, 
尿液酸碱度测定, 0.0092, 
碱性磷酸酶, 0.0090, 
平均红细胞血红蛋白量, 0.0089, 
尿蛋白定性试验, 0.0089, 
血清白蛋白, 0.0088, 
粪便虫卵, 0.0088, 
肌钙蛋白T, 0.0085, 
平均红细胞体积, 0.0085, 
嗜酸粒细胞直接计数, 0.0085, 
尿胆原定性试验, 0.0084, 
尿上皮细胞, 0.0080, 
乙型肝炎病毒E抗体（发光法）, 0.0079, 
尿红细胞检查(镜检）, 0.0079, 
血浆D-二聚体测定, 0.0079, 
尿白细胞检查(镜检）, 0.0077, 
嗜酸性粒细胞, 0.0071, 
淋巴细胞, 0.0069, 
隐血检查, 0.0068, 
尿上皮细胞检查(镜检）, 0.0068, 
单核细胞, 0.0066, 
粪便白细胞, 0.0066, 
尿红细胞检查, 0.0065, 
嗜碱性粒细胞, 0.0064, 
粪便红细胞, 0.0063, 
尿液亚硝酸盐试验, 0.0062, 
尿红细胞前向散射光分布宽度, 0.0061, 
不规则抗体筛查, 0.0059, 
白细胞计数, 0.0057, 
ABO血型鉴定, 0.0054, 
尿红细胞, 0.0053, 
镁, 0.0051, 
尿液电导率, 0.0048, 
红细胞比积测定, 0.0048, 
无机磷, 0.0046, 
钾, 0.0045, 
尿液小圆上皮细胞, 0.0044, 
甘油三酯, 0.0043, 
血培养(需氧菌)+鉴定+药敏, 0.0043, 
红细胞体积分布宽度测定CV, 0.0041, 
C-反应蛋白测定, 0.0041, 
乙型肝炎病毒核心抗体（发光法）, 0.0039, 
尿液管型(镜检), 0.0037, 
尿糖定性试验, 0.0036, 
RH血型正定型（D抗原）, 0.0030, 
高密度脂蛋白胆固醇, 0.0025, 
二氧化碳, 0.0024, 
尿胆红素定性试验, 0.0024, 
乙型肝炎病毒E抗原, 0.0023, 
国际标准化比值, 0.0020, 
尿液结晶, 0.0019, 
